WigleWifi-1.4,appRelease=2.26,model=ONE A2003,release=7.1.2,device=OnePlus2,display=OnePlus2-userdebug 7.1.2 NJH47F 4f3634c820,board=MSM8994,brand=OnePlus
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
f0:b4:29:52:6d:82,Go_Away,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2017-11-06 17:28:27,1,-68,32.10456206,35.17937682,570,11,WIFI
f0:b4:29:52:6d:83,Go_Away_5G,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2017-11-06 17:28:27,36,-63,32.10456206,35.17937682,570,11,WIFI
e8:de:27:85:22:b6,azria,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2017-11-06 17:28:27,1,-59,32.10456206,35.17937682,570,11,WIFI
14:ae:db:cd:0d:ed,Shani_5,[WPA2-PSK-CCMP][ESS],2017-11-06 17:28:27,48,-88,32.10456206,35.17937682,570,11,WIFI
c8:be:19:09:d6:99,elazar1,[WEP][ESS],2017-11-06 17:28:27,6,-73,32.10456206,35.17937682,570,11,WIFI
14:ae:db:cd:0d:ea,Shani,[WPA2-PSK-CCMP][ESS],2017-11-06 17:28:27,10,-76,32.10456206,35.17937682,570,11,WIFI
a0:8e:78:80:fd:e8,HOTBOX-E6F4,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2017-11-06 17:28:27,1,-81,32.10456206,35.17937682,570,11,WIFI
88:28:b3:6e:7a:6e,ilanit,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2017-11-06 17:28:27,4,-73,32.10456206,35.17937682,570,11,WIFI
62:45:b0:f4:c9:8d,,[WEP][ESS],2017-11-06 17:28:27,40,-89,32.10456206,35.17937682,570,11,WIFI
96:44:44:e8:47:d6,DIRECT-AP[TV][LG]55LA740Y-TC,[WPA2-PSK-CCMP][WPS][ESS],2017-11-06 17:28:27,1,-60,32.10456206,35.17937682,570,11,WIFI
c0:bd:d1:fe:c8:1e,AndroidAP,[WPA2-PSK-CCMP][ESS],2017-11-06 17:28:27,11,-81,32.10456206,35.17937682,570,11,WIFI
20:0c:c8:0f:26:7a,ADIEL5,[WPA2-PSK-CCMP][WPS][ESS],2017-11-06 17:28:27,60,-90,32.10456206,35.17937682,570,11,WIFI
20:0c:c8:11:13:0c,markovich_2.4,[WPA2-PSK-CCMP][WPS][ESS],2017-11-06 17:28:27,1,-83,32.10456206,35.17937682,570,11,WIFI
62:0c:c8:11:13:0d,Bezeq Free,[ESS],2017-11-06 17:28:27,1,-84,32.10456206,35.17937682,570,11,WIFI
20:0c:c8:0f:26:79,ADIEL,[WPA2-PSK-CCMP][WPS][ESS],2017-11-06 17:28:27,11,-80,32.10456206,35.17937682,570,11,WIFI
e8:74:e6:ff:a2:11,azria,[WPA2-PSK-CCMP][ESS],2017-11-06 17:28:27,1,-81,32.10456206,35.17937682,570,11,WIFI
42501_7213_5475843,Partner,UNKNOWN;il,2017-11-06 17:28:27,0,-113,32.10456206,35.17937682,570,11,GSM
f0:b4:29:52:6d:82,Go_Away,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2017-11-06 17:28:58,1,-63,32.10454906,35.17937639,575,7,WIFI
a0:8e:78:80:fd:e8,HOTBOX-E6F4,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2017-11-06 17:29:50,1,-74,32.10455384,35.17936472,579,5,WIFI
74:da:38:97:68:90,marisha_2EX,[WEP][ESS],2017-11-06 17:29:50,6,-87,32.10455384,35.17936472,579,5,WIFI
